id mostra,depuradora,        MS2(CG/L),        N2(CG/L),        N1(CG/L),        Adenovirus humans(CG/L),        E(CG/L),        N1r(CG/L),        N2r(CG/L),        Control intern(CG/L),        TGEV(CG/L),        IP4(CG/L),        Mengovirus(CG/L),        Diana4(CG/L),        Control inTGEV(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual,
DFIG-2020-08-10,FIGUERES,,,148.15,,,,,,2184.5,3163.8,,,,13100,0,,false,
DFIG-2020-08-24,FIGUERES,,,219360,,,,,,1376400,2317900,,,,12960,0,Canvi metodològic,false,
DFIG-2020-09-07,FIGUERES,,,186670,,,,,,1617800,49555,,,,13596,0,,false,
DFIG-2020-09-21,FIGUERES,,,807860,,,,,,1214900,111770,,,,17641,12.2,,false,
DFIG-2020-10-05,FIGUERES,,,3105300,,,,,,1858600,1568100,,,,,,,false,
DFON-2020-07-06,FONDARELLA,39889000,,13716,,450,,,,,,,,,22603,0,,false,
DFON-2020-07-13,FONDARELLA,19104000,,450,,450,,,,,,,,,26922,31,,false,
DFON-2020-07-20,FONDARELLA,721970000,,420,,420,,,,,,,,,28107,0,,false,
DFON-2020-07-27,FONDARELLA,15646000,,450,,450,,,,,,,,,27639,0,,false,
DFON-2020-08-03,FONDARELLA,69761000,360,360,,,,,,,,,,,30646,0,,false,
DFON-2020-08-10,FONDARELLA,418130000,300,300,,,,,,,,,,,24807,0,,false,
DFON-2020-08-17,FONDARELLA,,300,300,,300,,,532350000,,,,,,27090,0,,false,
DFON-2020-08-25,FONDARELLA,450,450,6224.7,,450,,,,,,,,,,,,false,
DFON-2020-08-31,FONDARELLA,300,300,9232.8,,,,,,,,,,,28689,0,,false,
DFON-2020-09-07,FONDARELLA,33522000,257.35,228.57,,,228.57,228.57,,,,,,,25840,0,Canvi Metodològic,true,
DFON-2020-09-14,FONDARELLA,248280000,214.29,441.88,,,,,,,,,,,27783,0,,true,
DFON-2020-09-21,FONDARELLA,10167000,142.86,861.17,,,,,,,,,,,31104,0,,false,
DFON-2020-09-28,FONDARELLA,24538000,233.08,786.39,,,,,,,,,,,19672,0,,false,
DFON-2020-10-05,FONDARELLA,1506000000,36892,79305,,,,,,,,,,,21106,0,,false,
DFON-2020-10-12,FONDARELLA,127510000,2052.7,5723.2,,,,,,,,,,,17001,0,,false,
DGAN-2020-07-13,GANDESA,54107000,,450,,450,,,,,,,,,557,0,,false,
DGAN-2020-07-27,GANDESA,450,,450,,450,,,,,,,,,644,0,,false,
DGAN-2020-08-10,GANDESA,25247000,300,300,,,,,,,,,,,576,0,,false,
DGAN-2020-08-25,GANDESA,450,450,450,,450,,,,,,,,,,,,false,
DGAN-2020-09-07,GANDESA,52962000,428.57,428.57,,,428.57,428.57,,,,,,,,,Canvi Metodològic,false,
DGAN-2020-09-21,GANDESA,6317400,865.1,142.86,,,,,,,,,,,539,0,,true,
DGAN-2020-10-05,GANDESA,76284000,442.99,13855,,,,,,,,,,,537,0,,false,
DGIR-2020-07-06,GIRONA,,,100,,100,,,,,100,,,2320800,56340,0,,false,
DGIR-2020-07-13,GIRONA,,,148.15,,148.15,,,,148.15,148.15,,,,45433,0,,false,
DGIR-2020-07-20,GIRONA,,,695.86,,148.15,,,,38284,768.68,,,,43312,0,,false,
DGIR-2020-07-27,GIRONA,,,148.15,,148.15,,,,15997,8163.2,,,,43748,0,,true,
