id mostra,depuradora,N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DBAL-2020-10-26,BALAGUER,41423,517,,,5206,0,,false
DBAL-2020-11-02,BALAGUER,169340,138876,,,5346,0,,false
DBAL-2020-11-09,BALAGUER,33010,160519,,,5206,0,,false
DBAL-2020-11-16,BALAGUER,57927,171,,,4740,0,,false
DBAL-2020-11-23,BALAGUER,92243,21347,,,7088,0,,false
DBAL-2020-11-30,BALAGUER,15800,171,,,6760,0,,false
DBAL-2020-12-08,BALAGUER,7930,3839,,,7419,0,,false
DBAL-2020-12-14,BALAGUER,8309,421,,,7603,0,,false
DBAL-2020-12-21,BALAGUER,11679,1497,,,7296,0,,false
DBAL-2020-12-28,BALAGUER,108023,7907,,,7306,0,,false
DBAL-2021-01-04,BALAGUER,35978,52575,,,7245,0,,false
DBAL-2021-01-11,BALAGUER,128007,141703,,,8555,0,,false
DBAL-2021-01-18,BALAGUER,43207,56472,,,7206,0,,false
DBAL-2021-01-25,BALAGUER,37831,11123,,,7380,0,,false
DBAL-2021-02-01,BALAGUER,161,143,,,6048,0,Analítica confirmada per repetició,true
DBAL-2021-02-08,BALAGUER,5558,171,,,7074,0,,true
DBAL-2021-02-15,BALAGUER,72356,38988,,,6310,0,Analítica confirmada per repetició,true
DBAL-2021-02-23,BALAGUER,16095,171,,,,,,false
DBAL-2021-03-01,BALAGUER,5095,143,,,5855,0,,false
DBAL-2021-03-08,BALAGUER,1429,171,,,5883,0,,false
DBAL-2021-03-15,BALAGUER,78902,37942,,,5362,0,,false
DBAL-2021-03-22,BALAGUER,7556,347,,,5792,0,,false
DBAL-2021-03-29,BALAGUER,1026,143,,,6453,0,,true
DBAL-2021-04-05,BALAGUER,67420,21466,,,6068,0,,false
DBAL-2021-04-15,BALAGUER,17780,3639,,,,,,false
DBAL-2021-04-19,BALAGUER,8894,5695,,,5664,0,,false
DBAL-2021-04-26,BALAGUER,51900,37649,,,7531,0,,false
DBAL-2021-05-03,BALAGUER,81397,470,,,6579,0,,false
DBAL-2021-05-10,BALAGUER,2545,3916,,,8060,0,,false
DBAL-2021-05-17,BALAGUER,8503,220,,,6739,0,,false
DBAL-2021-05-24,BALAGUER,3757,224,,,6886,0,,false
DBAL-2021-05-31,BALAGUER,20626,1545,,,6524,0,,false
DBAL-2021-06-07,BALAGUER,8455,1291,,,7015,0,,false
DBAL-2021-06-14,BALAGUER,200,200,,,7300,0,,false
DBAL-2021-06-21,BALAGUER,2471,737,,,7224,0,,false
DBAL-2021-06-28,BALAGUER,200,443,,,7440,0,,true
DBAL-2021-07-05,BALAGUER,24907,1159,,,8713,0,,false
DBAL-2021-07-12,BALAGUER,95698,39435,,,6977,0,Canvi metodològic,false
DBAL-2021-07-19,BALAGUER,57732,4559,,,7379,0,,false
DBAL-2021-07-26,BALAGUER,12459,2888,,,9434,0,,false
DBAL-2021-08-02,BALAGUER,41678,15306,,,9120,0,,false
DBAL-2021-08-09,BALAGUER,59986,9872,,,8754,0,,false
DBAL-2021-08-16,BALAGUER,28186,18760,,,9776,0,,false
DBAL-2021-08-23,BALAGUER,81251,312,,,8911,0,,false
DBAL-2021-08-30,BALAGUER,2837,2436,,,9545,0,,false
DBAL-2021-09-06,BALAGUER,6881,384,,,9520,0,,false
DBAL-2021-09-13,BALAGUER,434,424,,,8677,0,,true
DBAL-2021-09-20,BALAGUER,1467,240,,,9871,0,,false
DBAL-2021-09-27,BALAGUER,1565,344,,,9033,0,,false
DBAL-2021-10-04,BALAGUER,448,448,,,8524,0,,false
DBAL-2021-10-12,BALAGUER,5753,1081,,,,,,false
DBAL-2021-10-18,BALAGUER,936,352,,,7321,0,,false
DBAL-2021-10-26,BALAGUER,569,421,,,,,,false
DBAL-2021-11-02,BALAGUER,8555,7153,,,7269,0,,false
DBAL-2021-11-08,BALAGUER,264,264,,,7556,0,,false
DBAL-2021-11-15,BALAGUER,191366,62269,,,7866,0,,false
DBAL-2021-11-22,BALAGUER,44695,33110,,,7928,0,,false
DBAL-2021-11-29,BALAGUER,124023,78020,,,7800,0,,false
DBAL-2021-12-08,BALAGUER,13138,10743,,,7359,0,,false
DBAL-2021-12-13,BALAGUER,799576,1083581,,,6917,0,,false
DBAL-2021-12-20,BALAGUER,41411,21368,,,7851,0,,false
DBAL-2021-12-27,BALAGUER,174677,210137,,,7718,0,,false
DBAL-2022-01-03,BALAGUER,125347,159235,,,7533,0,,false
DBAL-2022-01-10,BALAGUER,156095,125166,,,7175,0,,false
DBAL-2022-01-17,BALAGUER,173536,375468,,,7431,0,,false
DBAL-2022-01-24,BALAGUER,140916,77963,,,7228,0,,false
DBAL-2022-01-31,BALAGUER,16925,41546,,,7058,0,,false
DBAL-2022-02-07,BALAGUER,47783,105098,,,6499,0,,false
DBAL-2022-02-14,BALAGUER,51252,120266,,,5515,0,,false
DBAL-2022-02-21,BALAGUER,36177,68211,,,5413,0,,false
DBAL-2022-02-28,BALAGUER,9922,9643,,,5805,0,,false
DBAL-2022-03-07,BALAGUER,3618,4002,,,5538,0,,false
DBAL-2022-03-14,BALAGUER,13506,9988,,,5696,0,,false
DBAL-2022-03-21,BALAGUER,26832,5402,,,5195,0,,false
DBAL-2022-03-28,BALAGUER,8646,14098,,,5110,0,,false
DBAL-2022-04-04,BALAGUER,192871,156774,,,5346,0,,false
DBAL-2022-04-11,BALAGUER,35650,16540,,,4715,0,,false
DBAL-2022-04-19,BALAGUER,4632,3267,,,7808,0,,false
DBAL-2022-04-25,BALAGUER,9508,8222,,,6796,0,,false
DBAL-2022-05-02,BALAGUER,67420,13482,,,6243,0,,false
DBAL-2022-05-09,BALAGUER,9445,5299,,,8124,0,,false
DBAL-2022-05-16,BALAGUER,65469,61846,,,7637,0,,false
DBAL-2022-05-23,BALAGUER,40818,40239,,,7141,0,,false
DBAL-2022-05-30,BALAGUER,261677,212742,,,7570,0,La rep2 d'N1 sense diluir ha donat 26948. No s'ha reportat al formulari per incoherència amb la resta de dades.,false
DBAL-2022-06-06,BALAGUER,147157,138180,,,,,,false
DBAL-2022-06-13,BALAGUER,57451,61494,,,7824,0,,false
DBAL-2022-06-20,BALAGUER,117221,164156,,,6914,0,,false
DBAL-2022-06-27,BALAGUER,147545,207132,,,7209,0,,false
DBAL-2022-07-04,BALAGUER,83406,62691,,,8252,0,,false
DBAL-2022-07-11,BALAGUER,51312,52138,,,8762,0,,false
DBAL-2022-07-18,BALAGUER,64954,78403,,,9213,0,,false
DBAL-2022-07-25,BALAGUER,134817,198414,,,8901,0,,false
DBAL-2022-08-08,BALAGUER,70506,32493,,,8917,0,,false
DBAL-2022-08-22,BALAGUER,63029,160942,,,9015,0,,false
