id mostra,depuradora,LD(CG/L),N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DBAY-2021-05-03,BANYOLES,767,40672,,5498,,13079,0,,false
DBAY-2021-05-10,BANYOLES,967,179467,,25934,,11123,2,,false
DBAY-2021-05-17,BANYOLES,800,13099,,9584,,11528,0,,false
DBAY-2021-05-24,BANYOLES,700,31335,,1168,,11998,1.7,,false
DBAY-2021-05-31,BANYOLES,633,19586,,633,,11653,0,,false
DBAY-2021-06-07,BANYOLES,833,40317,,22443,,12463,0.6,,false
DBAY-2021-06-14,BANYOLES,833,2240,,833,,13340,0,Repetició N1 i IP4,false
DBAY-2021-06-21,BANYOLES,833,10158,,833,,11665,0,,false
DBAY-2021-06-28,BANYOLES,767,49574,,31190,,11950,0,,false
DBAY-2021-07-05,BANYOLES,1533,212225,,14741,,13273,0,,false
DBAY-2021-07-12,BANYOLES,1533,330364,,225131,,12588,0,,false
DBAY-2021-07-19,BANYOLES,1933,192206,,101725,,12312,0,,false
DBAY-2021-07-26,BANYOLES,1667,170407,,72532,,13410,3.2,,false
DBAY-2021-08-02,BANYOLES,1467,277438,,68485,,12189,0.6,,false
DBAY-2021-08-09,BANYOLES,1800,159676,,93023,,11224,0,,false
DBAY-2021-08-16,BANYOLES,1600,247196,,182592,,10024,0,,false
DBAY-2021-08-23,BANYOLES,1800,141059,,136676,,10527,0,,false
DBAY-2021-08-30,BANYOLES,1667,560345,,362723,,10133,0,,false
DBAY-2021-09-06,BANYOLES,1333,1126863,,429919,,10901,0,,false
DBAY-2021-09-13,BANYOLES,1467,47045,,23969,,11091,0,,false
DBAY-2021-09-20,BANYOLES,1600,23117,,3167,,13698,21.9,,false
DBAY-2021-09-27,BANYOLES,2067,57654,,15954,,10830,0,,false
DBAY-2021-10-04,BANYOLES,1933,77974,,59093,,12743,8,,false
DBAY-2021-10-13,BANYOLES,1667,68028,,24470,,10659,0,,false
DBAY-2021-10-18,BANYOLES,2000,80620,,17795,,10525,0,,false
DBAY-2021-10-25,BANYOLES,1800,151002,,160620,,9649,0,,false
DBAY-2021-11-01,BANYOLES,2000,168299,,46595,,,,,false
DBAY-2021-11-08,BANYOLES,2200,64067,,8333,,9221,0,,false
DBAY-2021-11-15,BANYOLES,1933,84062,,55249,,10423,0.7,,false
DBAY-2021-11-22,BANYOLES,2200,533918,,152890,,10872,4.4,,false
DBAY-2021-11-29,BANYOLES,2267,334968,,100313,,9756,0,,false
